parameter,display_name,value_type,description,default_value,examples,valid_min,valid_max,valid_options,required,popular,regex,automl_enabled,math_cond,parent_param,depends_on
version,Schema Version,const,The version of this schema,1,,,,,,,,FALSE,,,
gpu_ids,GPU indices,list,,"[0]",,,,,,,,FALSE,,,
results_dir,,hidden,,,,,,,,,,FALSE,,,
checkpoint,,string,,,,,,,,,,FALSE,,,
dataset,,collection,,,,,,,,,,FALSE,,,
dataset.train_ann_path,Annotation path of the training set,hidden,,,,,,,,,,FALSE,,,
dataset.train_img_dir,Image directory of the training set,hidden,,,,,,,,,,FALSE,,,
dataset.val_ann_path,Annotation path of the validation set,hidden,,,,,,,,,,FALSE,,,
dataset.val_img_dir,Image directory of the validation set,hidden,,,,,,,,,,FALSE,,,
dataset.type,dataset type,string,,coco,,,,coco,,,,FALSE,,,
dataset.min_obj_size,minimum object size,float,,2048,,,,,,,,FALSE,,,
dataset.max_obj_size,maximum object size,float,,1.00E+10,,,,,,,,FALSE,,,
dataset.num_workers_per_gpu,,int,,2,,,,,,,,FALSE,,,
dataset.load_mask,Whether to load segmentation mask in annotation file,bool,,TRUE,,,,,,,,FALSE,,,
dataset.crop_size,,int,,512,,256,inf,,,,,FALSE,,,
model,,collection,,,,,,,,,,FALSE,,,
model.arch,,ordered,,vit-mae-base/16,,,,"vit-deit-tiny/16,vit-deit-small/16,vit-mae-base/16,vit-mae-large/16,vit-mae-huge/14,fan_tiny_12_p16_224,fan_small_12_p16_224,fan_base_18_p16_224,fan_large_24_p16_224,fan_tiny_8_p4_hybrid,fan_small_12_p4_hybrid,fan_base_16_p4_hybrid,fan_large_16_p4_hybrid",,,,FALSE,,,
model.frozen_stages,,list,,[-1],,,,,,,,FALSE,,,
model.mask_head_num_convs,,int,,4,,1,inf,,,,,FALSE,,,
model.mask_head_hidden_channel,,int,,256,,1,inf,,,,,FALSE,,,
model.mask_head_out_channel,,int,,256,,1,inf,,,,,FALSE,,,
model.teacher_momentum,,float,,0.996,,0,1,,,,,FALSE,,,
inference,,collection,,,,,,,,,,FALSE,,,
inference.ann_path,,hidden,,,,,,,,,,FALSE,,,
inference.img_dir,,hidden,,,,,,,,,,FALSE,,,
inference.label_dump_path,,hidden,,,,,,,,,,FALSE,,,
inference.batch_size,,int,,3,,1,inf,,,,,FALSE,,,
inference.load_mask,,bool,,FALSE,,,,,,,,FALSE,,,
