parameter,display_name,value_type,description,default_value,examples,valid_min,valid_max,valid_options,required,popular,regex,automl_enabled,math_cond,parent_param,depends_on
version,Schema Version,const,The version of this schema,1,,,,,,,,FALSE,,,
results_dir,,hidden,,,,,,,,,,FALSE,,,
encryption_key,,string,,nvidia_tao,,,,,,,,FALSE,,,
model,,collection,,,,,,,,,,FALSE,,,
model.input_width,,int,,224,,1,inf,,,,,FALSE,,,
model.input_height,,int,,224,,1,inf,,,,,FALSE,,,
model.model_type,,ordered,,rgb,,,,"rgb,of,joint",,,,FALSE,,,
model.backbone,,ordered,,resnet_18,,,,"i3d,resnet_18,resnet_34,resnet_50,resnet_101,resnet_152",,,,FALSE,,,
model.rgb_seq_length,,int,,3,,1,inf,,,,,FALSE,,,
model.rgb_pretrained_model_path,,hidden,,,,,,,,,,FALSE,,,
model.rgb_pretrained_num_classes,,int,,5,,1,inf,,,,,FALSE,,,
model.of_seq_length,,int,,16,,1,inf,,,,,FALSE,,,
model.of_pretrained_model_path,,hidden,,,,,,,,,,FALSE,,,
model.of_pretrained_num_classes,,int,,5,,1,inf,,,,,FALSE,,,
model.input_type,,ordered,,3d,,,,"2d,3d",,,,FALSE,,,
model.sample_strategy,,ordered,,consecutive,,,,"random_interval,consecutive",,,,FALSE,,,
model.dropout_ratio,,float,,0.0,,0,1.0,,,,,TRUE,,,
model.sample_rate,,int,,1,,1,inf,,,,,,,,
model.num_fc,,int,,64,,1,inf,,,,,,,,
dataset,,collection,,,,,,,,,,FALSE,,,
dataset.train_dataset_dir,,hidden,,,,,,,,,,FALSE,,,
dataset.val_dataset_dir,,hidden,,,,,,,,,,FALSE,,,
dataset.label_map_3d,,collection,,"{""catch"": 0,""smile"": 1}",,,,,,,,FALSE,,,
dataset.label_map_2d,,collection,,"{""catch"": 0,""smile"": 1}",,,,,,,,FALSE,,,
dataset.batch_size,,int,,32,,1,inf,,,,,FALSE,,,
dataset.workers,,int,,8,,1,inf,,,,,FALSE,,,
dataset.clips_per_video,,int,,5,,1,inf,,,,,FALSE,,,
dataset.augmentation_config,,collection,,,,,,,,,,FALSE,,,
dataset.augmentation_config.train_crop_type,,ordered,,no_crop,,,,"random_crop,multi_scale_crop,no_crop",,,,,,,
dataset.augmentation_config.horizontal_flip_prob,,float,,0.5,,0,1,,,,,FALSE,,,
dataset.augmentation_config.rgb_input_mean,,list,,"[0.5]",,,,,,,,FALSE,,,
dataset.augmentation_config.rgb_input_std,,list,,"[0.5]",,,,,,,,FALSE,,,
dataset.augmentation_config.of_input_mean,,list,,"[0.5]",,,,,,,,FALSE,,,
dataset.augmentation_config.of_input_std,,list,,"[0.5]",,,,,,,,FALSE,,,
dataset.augmentation_config.val_center_crop,,bool,,FALSE,,,,,,,,FALSE,,,
train,,collection,,,,,,,,,,FALSE,,,
train.gpu_ids,,list,,"[0]",,,,,,,,FALSE,,,
train.num_gpus,Number of GPUs,int,The number of GPUs,1,,1,,,,,,FALSE,,,
train.optim,,collection,,,,,,,,,,FALSE,,,
train.optim.lr,,float,,0.001,,0,inf,,,,,TRUE,,,
train.optim.momentum,,float,,0.9,,0,1,,,,,,,,
train.optim.weight_decay,,float,,0.0001,,0,inf,,,,,TRUE,,,
train.optim.lr_scheduler,,ordered,,MultiStep,,,,"AutoReduce,MultiStep",,,,FALSE,,,
train.optim.lr_steps,,list_2,,"[5,15,20]",,,,,,,,FALSE,,,
train.optim.lr_decay,,float,,0.1,,0,1.0,,,,,FALSE,,,
train.optim.lr_monitor,,ordered,,val_loss,,,,"val_loss,train_loss",,,,FALSE,,,
train.optim.patience,,int,,1,,1,inf,,,,,,,,
train.optim.min_lr,,float,,5e-4,,0,inf,,,,,,,,
train.num_epochs,,int,,50,,1,inf,,,,,FALSE,,,
train.checkpoint_interval,,int,,5,,1,inf,,,,,FALSE,,,
train.validation_interval,,int,,5,,1,inf,,,,,FALSE,,,
train.resume_checkpoint_path,,hidden,,,,,,,,,,FALSE,,,
train.clip_grad_norm,,float,,0,,0,inf,,,,,,,,
