parameter,display_name,value_type,description,default_value,examples,valid_min,valid_max,valid_options,required,regex,popular,automl_enabled,math_cond,parent_param,depends_on
results_dir,,hidden,,,,,,,,,,FALSE,,,
encryption_key,Encode key,hidden,,,,,,,,,,FALSE,,,
data_format,,ordered,,channels_first,,,,"channels_first,channels_last",,,,FALSE,,,
train,,collection,,,,,,,,,,FALSE,,,
train.qat,,bool,,FALSE,,,,,,,,FALSE,,,
train.batch_size_per_gpu,,integer,,64,,,,,,,,FALSE,,,
train.num_epochs,,integer,,50,,1,inf,,,,,FALSE,,,
train.checkpoint_interval,Checkpoint Interval,integer,The interval (in epochs) at which train saves intermediate models.,5,,1,inf,,,,,FALSE,,,
train.n_workers,Workers,integer,Number of workers in sequence dataset,10,,1,inf,,,,,FALSE,,,
train.random_seed,Random Seed,integer,Seed value for the random number generator in the network,42,,1,inf,,,,,FALSE,,,
train.checkpoint,Path to Pretrained model,hidden,The path to a pretrained model,,,,,,,,,FALSE,,,
train.label_smoothing,,float,,0.01,,0,1,,,,,,,,
train.reg_config,,collection,,,,,,,,,,FALSE,,,
train.reg_config.weight_decay,,float,,0.00005,,0,inf,,,,,FALSE,,,
train.reg_config.scope,,list,,"[""conv2d"",""dense""]",,,,,,,,FALSE,,,
train.reg_config.type,,string,,L2,,,,,,,,TRUE,,,
train.wandb,,collection,,,,,,,,,,FALSE,,,
train.wandb.entity,,string,,metropolis,,,,,,,,FALSE,,,
train.wandb.name,,string,,classification_training_wandb_configdump,,,,,,,,FALSE,,,
train.wandb.project,,string,,TAO wandb trainings,,,,,,,,FALSE,,,
train.wandb.tags,,list,,"[""training"",""classification""]",,,,,,,,FALSE,,,
train.clearml,,collection,,,,,,,,,,FALSE,,,
train.clearml.project,,string,,TAO clearml trainings,,,,,,,,FALSE,,,
train.clearml.tags,,list,,"[""training"",""classification""]",,,,,,,,FALSE,,,
train.clearml.task,,string,,classification_train,,,,,,,,FALSE,,,
train.bn_config,,collection,,,,,,,,,,FALSE,,,
train.bn_config.epsilon,,float,,1.00E-05,,1.00E-10,inf,,,,,,,,
train.bn_config.momentum,,float,,0.9,,1.00E-10,0.99,,,,,,,,
train.optim_config,,collection,,,,,,,,,,FALSE,,,
train.optim_config.lr,,float,,0.05,,0,inf,,,,,TRUE,,,
train.optim_config.decay,,float,,0.0001,,0,1,,,,,FALSE,,,
train.optim_config.epsilon,,float,,0.0001,,0,1,,,,,FALSE,,,
train.optim_config.rho,,float,,0.5,,0,1,,,,,FALSE,,,
train.optim_config.beta_1,,float,,0.99,,0,1,,,,,TRUE,,,
train.optim_config.beta_2,,float,,0.99,,0,1,,,,,FALSE,,,
train.optim_config.momentum,,float,,0.99,,0,1,,,,,FALSE,,,
train.optim_config.nesterov,,bool,,TRUE,,,,,,,,TRUE,,,
dataset,,collection,,,,,,,,,,FALSE,,,
dataset.train_dataset_path,Train Dataset path,hidden,,,,,,,,,,FALSE,,,
dataset.val_dataset_path,Validation Dataset path,hidden,,,,,,,,,,FALSE,,,
dataset.preprocess_mode,Pre-Process mode,ordered,,caffe,,,,"caffe,torch,tf",,,,FALSE,,,
dataset.num_classes,,int,,20,,2,inf,,,,,FALSE,,,
dataset.image_mean,,list,,"[103.939,116.779,123.68]",,,,,,,,FALSE,,,
dataset.augmentation,,collection,,,,,,,,,,FALSE,,,
dataset.augmentation.enable_random_crop,,bool,,TRUE,,,,,,,,,,,
dataset.augmentation.enable_center_crop,,bool,,TRUE,,,,,,,,,,,
dataset.augmentation.enable_color_augmentation,,bool,,FALSE,,,,,,,,,,,
dataset.augmentation.disable_horizontal_flip,,bool,,FALSE,,,,,,,,,,,
dataset.augmentation.mixup_alpha,,float,,0,,0,1,,,,,,,,
model,,collection,,,,,,,,,,FALSE,,,
model.backbone,,ordered,,efficientnet-b0,,,,"efficientnet-b0,efficientnet-b1,efficientnet-b2,efficientnet-b3,efficientnet-b4,efficientnet-b5",,,,FALSE,,,
model.input_image_depth,,ordered_int,,8,,,,"8,16",,,,FALSE,,,
model.input_width,Model Input width,int,The model input dimensions,224,,32,,,,,,,,,
model.input_height,Model Input height,int,The model input dimensions,224,,32,,,,,,,,,
model.input_channels,Model Input channels,ordered_int,The model input dimensions,3,,,,"1,3",,,,,,,
model.use_batch_norm,,bool,,TRUE,,,,,,,,,,,
model.use_bias,,bool,,FALSE,,,,,,,,FALSE,,,
model.use_pooling,,bool,,TRUE,,,,,,,,FALSE,,,
model.all_projections,,bool,,FALSE,,,,,,,,FALSE,,,
model.freeze_bn,,bool,,FALSE,,,,,,,,FALSE,,,
model.freeze_blocks,Freeze Blocks,list_1_backbone,The list of block IDs to be frozen in the model during training,,,,,,,,,FALSE,,,
model.retain_head,,bool,,FALSE,,,,,,,,,,,
model.dropout,,float,,0,,0,1,,,,,,,,
model.resize_interpolation_method,,ordered,,bilinear,,,,"bilinear,bicubic",,,,,,,
model.activation_type,,ordered,,None,,,,"None,relu",,,,,,,
model.byom_model_path,,hidden,,,,,,,,,,FALSE,,,
