parameter,display_name,value_type,description,default_value,examples,valid_min,valid_max,valid_options,required,regex,popular,automl_enabled,math_cond,parent_param,depends_on
results_dir,,hidden,,,,,,,,,,FALSE,,,
dataset,,collection,,,,,,,,,,FALSE,,,
dataset.data,,collection,,,,,,,,,,FALSE,,,
dataset.data.train,,collection,,,,,,,,,,FALSE,,,
dataset.data.train.data_prefix,,hidden,,,,,,,,,,FALSE,,,
dataset.data.train.pipeline,,list,,"[{""type"": ""RandomResizedCrop"", ""size"": 224}, {""type"": ""RandomFlip"", ""flip_prob"": 0.5, ""direction"": ""horizontal""}]",,,,,,,,FALSE,,,
dataset.data.train.ann_file,,,,,,,,,,,,,,,
dataset.data.val,,collection,,,,,,,,,,FALSE,,,
dataset.data.val.data_prefix,,hidden,,,,,,,,,,FALSE,,,
dataset.data.val.ann_file,,,,,,,,,,,,,,,
dataset.data.test,,collection,,,,,,,,,,FALSE,,,
dataset.data.test.data_prefix,,hidden,,,,,,,,,,FALSE,,,
dataset.data.test.ann_file,,,,,,,,,,,,,,,
model,,collection,,,,,,,,,,FALSE,,,
model.init_cfg,,collection,,,,,,,,,,FALSE,,,
model.init_cfg.type,,string,,Pretrained,,,,,,,,FALSE,,,
model.backbone,,collection,,,,,,,,,,FALSE,,,
model.backbone.type,,string,,fan_tiny_8_p4_hybrid,,,,,,,,FALSE,,,
model.backbone.freeze,,bool,,FALSE,,,,,,,,FALSE,,,
model.backbone.pretrained,,hidden,,,,,,,,,,FALSE,,,
model.head,,collection,,,,,,,,,,FALSE,,,
model.head.type,,string,,TAOLinearClsHead,,,,,,,,FALSE,,,
model.head.num_classes,,int,,20,,,,,,,,FALSE,,,
model.head.custom_args,,collection,,,,,,,,,,FALSE,,,
model.head.custom_args.head_init_scale,,int,,1,,,,,,,,FALSE,,,
export,,collection,,,,,,,,,,FALSE,,,
export.checkpoint,,collection,,,,,,,,,,FALSE,,,
export.onnx_file,,collection,,,,,,,,,,FALSE,,,
export.input_width,,int,,224,,,,,,,,FALSE,,,
export.input_height,,int,,224,,,,,,,,FALSE,,,
export.input_channel,,int,,3,,,,,,,,FALSE,,,
export.verify,,bool,,FALSE,,,,,,,,FALSE,,,
